"COUNTRY","Country","SEO","Socio economic objective","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","_T","Total","MIO_NAC","National Currency","2011","2011","AUD","Australian Dollar","6","Millions",,,7143.005,"D","Difference in methodology"
"AUS","Australia","_T","Total","MIO_NAC","National Currency","2012","2012","AUD","Australian Dollar","6","Millions",,,6910.585,"D","Difference in methodology"
"AUS","Australia","_T","Total","MIO_NAC","National Currency","2013","2013","AUD","Australian Dollar","6","Millions",,,7063.137,"D","Difference in methodology"
"AUS","Australia","_T","Total","MIO_NAC","National Currency","2014","2014","AUD","Australian Dollar","6","Millions",,,7031.509,"D","Difference in methodology"
"AUS","Australia","_T","Total","MIO_NAC","National Currency","2015","2015","AUD","Australian Dollar","6","Millions",,,6796.896,"D","Difference in methodology"
"AUS","Australia","_T","Total","MIO_NAC","National Currency","2016","2016","AUD","Australian Dollar","6","Millions",,,6860.55,"D","Difference in methodology"
"AUS","Australia","_T","Total","MIO_NAC","National Currency","2017","2017","AUD","Australian Dollar","6","Millions",,,7706.775,"D","Difference in methodology"
"AUS","Australia","_T","Total","MIO_NAC","National Currency","2018","2018","AUD","Australian Dollar","6","Millions",,,7337.245,"D; P","Difference in methodology; Provisional value"
"AUS","Australia","_T","Total","MIO_NAC","National Currency","2019","2019","AUD","Australian Dollar","6","Millions",,,7623.825,"D; P","Difference in methodology; Provisional value"
"AUS","Australia","NABS01","Exploration and exploitation of the Earth","MIO_NAC","National Currency","2011","2011","AUD","Australian Dollar","6","Millions",,,471.202,"D","Difference in methodology"
"AUS","Australia","NABS01","Exploration and exploitation of the Earth","MIO_NAC","National Currency","2012","2012","AUD","Australian Dollar","6","Millions",,,518.815,"D","Difference in methodology"
"AUS","Australia","NABS01","Exploration and exploitation of the Earth","MIO_NAC","National Currency","2013","2013","AUD","Australian Dollar","6","Millions",,,460.314,"D","Difference in methodology"
"AUS","Australia","NABS01","Exploration and exploitation of the Earth","MIO_NAC","National Currency","2014","2014","AUD","Australian Dollar","6","Millions",,,438.149,"D","Difference in methodology"
"AUS","Australia","NABS01","Exploration and exploitation of the Earth","MIO_NAC","National Currency","2015","2015","AUD","Australian Dollar","6","Millions",,,410.518,"D","Difference in methodology"
"AUS","Australia","NABS01","Exploration and exploitation of the Earth","MIO_NAC","National Currency","2016","2016","AUD","Australian Dollar","6","Millions",,,403.987,"D","Difference in methodology"
"AUS","Australia","NABS01","Exploration and exploitation of the Earth","MIO_NAC","National Currency","2017","2017","AUD","Australian Dollar","6","Millions",,,430.789,"D","Difference in methodology"
"AUS","Australia","NABS01","Exploration and exploitation of the Earth","MIO_NAC","National Currency","2018","2018","AUD","Australian Dollar","6","Millions",,,465.401,"D; P","Difference in methodology; Provisional value"
"AUS","Australia","NABS01","Exploration and exploitation of the Earth","MIO_NAC","National Currency","2019","2019","AUD","Australian Dollar","6","Millions",,,470.545,"D; P","Difference in methodology; Provisional value"
